139964	35.1359	68.1954
65120	34.9169	65.1952
62880	36.1401	70.5931
62880	36.1401	70.5931
294967	32.2363	61.9524
312515	35.5683	70.7832
197367	33.146	67.504
393290	29.2675	-0.954237
62880	36.1401	70.5931
184440	36.1401	70.5931
386340	30.1219	4.5658
62880	36.1401	70.5931
91798	32.0866	67.7965
312927	35.6457	70.9719
195088	57.1219	65.0909
202359	33.7791	67.7507
237988	31.4792	66.6873
448238	39.7539	20.0869
439981	40.7365	48.4946
130308	34.8721	69.1752
6685	24.4908	54.3708
68022	33.6945	66.5531
419179	38.8726	48.2467
198118	34.1399	63.7131
282749	34.3864	67.7769
353528	65.8133	0.751668
213458	65.4676	65.4897
62880	36.1401	70.5931
405181	36.7991	3.89046
